raw_school,school,note
"Sioux Falls Christian","SF Christian",
"Sioux Falls Jefferson","SF Jefferson",
"Sioux Falls Lincoln","SF Lincoln",
"Sioux Falls Lutheran","SF Lutheran",
"Sioux Falls Roosevelt","SF Roosevelt",
"Sioux Falls Washington","SF Washington",
"Winner","Winner/Colome",
"Red Cloud","Mahpiya Luta",
"Eureka-Bowdle","North Central",
"Edmunds Central","North Central",
"Grant-Deuel","Deuel",
"Wilmot","Milbank",
"Redfield/Doland","Redfield",
"31-Unattached",DROP,not a school
"Premier Running Club",DROP,not a school
"SDHSAA - Class A/B",DROP,not a school
"Removed",DROP,not a school
"Sch For The Blind",DROP,not a school
"School for the Blind/VI",DROP,not a school
"South Dakota School for the Deaf",DROP,not a school
"Dupree MS","Dupree",varsity runners labeled MS at gettysburg_pre
"Highmore MS","Highmore-Harrold",varsity runner labeled MS at bowdle
"Waverly",OUT,Waverly NE at Augie (not Waverly-South Shore)
"ONeill",OUT,
"Grant",OUT,
"SC West",OUT,
"Akron-Westfield",OUT,
"Algona",OUT,
"Baker",OUT,
"Beach",OUT,
"Benilde-St Margaret's",OUT,
"Bishop Garrigan Algona",OUT,
"Bishop Heelan Catholic Sioux C",OUT,
"Bishop Heelan Catholic Sioux City",OUT,
"Bismarck",OUT,
"Boone",OUT,
"Border West",OUT,
"Boyd County",OUT,
"Breckenridge/Wahpeton",OUT,
"Browns Valley",OUT,
"Campbell County",OUT,
"Century",OUT,
"Clear Lake",OUT,
"Cotter/Hope",OUT,
"Creighton Preparatory School",OUT,
"Crofton",OUT,
"Eagle Grove",OUT,
"Ellendale",OUT,
"Emmetsburg",OUT,
"Enderlin",OUT,
"Estherville Lincoln Central",OUT,
"Evan (Torrey) Swaggerty-Morgan Sioux City North",OUT,
"Fairmont",OUT,
"Fargo South",OUT,
"Farmington",OUT,
"Fremont",OUT,
"Grand Forks Central",OUT,
"Grand Island",OUT,
"Hillsboro/Central Valley",OUT,
"Hopkins",OUT,
"Hulett",OUT,
"Humboldt",OUT,
"Iowa Falls-Alden",OUT,
"Jamestown",OUT,
"Kelly Walsh",OUT,
"Lac qui Parle Valley/Dawson-Boyd",OUT,
"Laramie",OUT,
"Lawton-Bronson",OUT,
"Legacy",OUT,
"LeMars",OUT,
"Lincoln North Star",OUT,
"Manson Northwest Webster",OUT,
"Marshall",OUT,
"May-Port CG",OUT,
"MCW/BO",OUT,
"Millard South",OUT,
"Minnetonka",OUT,
"Minot",OUT,
"Montevideo",OUT,
"Moorcroft",OUT,
"Mount Michael Benedictine",OUT,
"Mullen",OUT,
"Natrona County",OUT,
"Newcastle",OUT,
"Newell-Fonda",OUT,
"Niobrara/Verdigre",OUT,
"Norfolk",OUT,
"North Platte",OUT,
"North Union",OUT,
"Northern Cass",OUT,
"Omaha Central",OUT,
"Omaha Duchesne Academy",OUT,
"Omaha Marian",OUT,
"PACT/Legacy",OUT,
"Papillion-La Vista",OUT,
"Pierce",OUT,
"Pocahontas Area",OUT,
"Powder River Co",OUT,
"Red River",OUT,
"Redwood Valley",OUT,
"Richland",OUT,
"Ridge View",OUT,
"Sargent Central/Lidgerwood/Oakes",OUT,
"Shakopee",OUT,
"Sheridan",OUT,
"Sheyenne",OUT,
"Sioux City East",OUT,
"Sioux City North",OUT,
"Sioux City West",OUT,
"Siouxland Christian",OUT,
"South Sioux City",OUT,
"Spirit Lake",OUT,
"St Stephens Indian",OUT,
"St. Edmond Fort Dodge",OUT,
"Standing Rock",OUT,
"Stuart",OUT,
"Sundance",OUT,
"SW MN Christian / Edgerton",OUT,
"Thunder Basin",OUT,
"United North Central",OUT,
"Unity Christian Orange City",OUT,
"West Bend-Mallard",OUT,
"West Hancock Britt",OUT,
"West Lyon Inwood",OUT,
"West Sioux Hawarden",OUT,
"Woodbury",OUT,
"Woodbury Central",OUT,
"Worthington",OUT,
"Wright",OUT,
"Wyoming Indian",OUT,
